Unnamed: 0.1,Unnamed: 0,French,English
0,2,seulement,only
1,3,police,police
2,4,demande,request
3,5,genre,kind
4,6,mois,month
5,9,mettre,to put
6,10,aucun,no
8,12,chaque,each
9,16,longtemps,long time
10,17,pendant,while
11,19,aucune,any
12,20,place,square
13,21,parle,speak
14,22,compris,understood
15,23,étaient,were
16,24,voici,here is
17,25,pourrais,could
18,26,affaire,case
19,27,donner,give
20,28,type,type
21,29,leurs,their
22,31,corps,body
23,33,yeux,eyes
24,36,trouve,find
25,37,premier,first
26,38,perdu,lost
27,39,première,first
28,41,vieux,old
29,42,tiens,here
30,43,tellement,so much
31,45,point,point
32,46,venu,came
33,47,suite,after
34,48,pardon,sorry
35,49,venez,come
36,51,vers,towards
37,52,minutes,minutes
38,54,mis,placed
39,55,belle,beautiful
40,56,droit,law
41,57,aimerais,would like to
42,58,aujourd'hui,today
43,61,espère,hope
44,62,eau,water
45,63,parti,left
46,67,compte,account
47,68,loin,far
48,69,fin,end
49,70,croire,believe
50,72,plutôt,rather
51,74,filles,girls
52,75,jouer,to play
53,76,bureau,office
